"","date","week.id","month.id","key.daily","key.media","key.weekly","account","price","launch","size","brand","prod.code1","prod.code2","prod.code3","prod.code1.report","prod.code2.report","prod.code3.report","sales.POS.amount","KISS.nsk","KISS.pack","period","nth.day","promo.brand.per.day","analysis","location","promo.type","promo.detail","dc.rate","dc.amount","promo.count.non.dc","support.leaflet","support.other","on.pack","on.pack.cereal.related","on.pack.co.promotion","on.pack.daily.supplies","on.pack.kids.related","on.pack.sachet","on.pack.seasonal.goods","on.pack.diet.related","media.TV","media.CATV","media.radio","media.digital","post.dc.rate","post.1st.end","post.2nd.end","post.half.end","post.on.shelf","post.promo.count.non.dc","carryover.TV","carryover.CATV","carryover.radio","carryover.digital","sales.wo.carryover","key.SKU.account","promo.count.non.dc.boosted","any.promotion","base.sales","decompose.seasonal","decompose.trend","decompose.random","stl.seasonal","stl.trend","stl.remainder","promo.effect"
"1",2009-02-01,5,"2009-02","2009-02-01 emart 201","Corn Frost 5","201 emart wk 5","emart",6100,1996,"club","kellogg",201,"FF.600","Corn.Frost",21,"FF club","FF.original",6746600,NA,NA,NA,NA,NA,NA,"NA","NA","NA",NA,0,0,"no","NA","NA","0","0","0","0","0","0","0",941525.628,10245990.78,0,1121474.654,0.113636363636364,6,5,0,0,2,459.7152715,301.4667008,0,267.8237602,6745570.9942675,"FF.600.emart",0,0,6745570.9942675,1.42495041288003,0,0,147515.057239546,6368798.44191425,-6516313.4991538,-0.521234444627851
"2",2009-02-02,5,"2009-02","2009-02-02 emart 201","Corn Frost 5","201 emart wk 5","emart",6100,1996,"club","kellogg",201,"FF.600","Corn.Frost",21,"FF club","FF.original",3422100,2815344,57,NA,NA,NA,NA,"NA","NA","NA",NA,0,0,"no","NA","NA","0","0","0","0","0","0","0",941525.628,10245990.78,0,1121474.654,0.113636363636364,6,5,0,0,2,965.4890344,637.2228239,0,572.1919029,3419925.0962388,"FF.600.emart",0,0,3419925.0962388,0.920088426906853,0,0,134822.056640441,6472927.0441472,-6607749.10078764,-0.360440518457401
"3",2009-02-03,5,"2009-02","2009-02-03 emart 201","Corn Frost 5","201 emart wk 5","emart",6100,1996,"club","kellogg",201,"FF.600","Corn.Frost",21,"FF club","FF.original",3117100,3457440,70,NA,NA,NA,NA,"NA","NA","NA",NA,0,0,"no","NA","NA","0","0","0","0","0","0","0",941525.628,10245990.78,0,1121474.654,0.113636363636364,6,5,0,0,2,1471.934185,977.5262613,0,887.067895,3113763.4716587,"FF.600.emart",0,0,3113763.4716587,0.844981117157911,0,0,327975.002822305,6577055.64638014,-6905030.64920244,-0.313955217563065
"4",2009-02-04,5,"2009-02","2009-02-04 emart 201","Corn Frost 5","201 emart wk 5","emart",6100,1996,"club","kellogg",201,"FF.600","Corn.Frost",21,"FF club","FF.original",5532700,58035600,1175,NA,NA,NA,NA,"NA","NA","NA",NA,0,0,"no","NA","NA","0","0","0","0","0","0","0",941525.628,10245990.78,0,1121474.654,0.113636363636364,6,5,0,0,2,2660.971483,1777.880753,0,1630.310258,5526630.837506,"FF.600.emart",0,0,5526630.837506,0.789125714603371,6291622.89904891,1.11314457973621,-177363.931067342,6681184.24861308,-212197.418496826,0.030040109464885
"5",2009-02-05,6,"2009-02","2009-02-05 emart 201","Corn Frost 6","201 emart wk 6","emart",6100,1996,"club","kellogg",201,"FF.600","Corn.Frost",21,"FF club","FF.original",13798200,11903472,241,"Regular","1","6","yes","1st end (full)","NA","NA",NA,0,1,"yes","NA","FFL 120","0","0","0","0","1","0","0",1445592.2,10340000,0,750000,0.122727272727273,2,9,0,0,1,4684.958404,3148.728807,0,2917.574089,13787448.7387,"FF.600.emart",1e+06,1,6883986.91191783,0.816641927025053,7301174.86963499,1.15455762144922,157372.865306542,6783684.7126708,360117.291657648,0.992873677295695
"6",2009-02-06,6,"2009-02","2009-02-06 emart 201","Corn Frost 6","201 emart wk 6","emart",6100,1996,"club","kellogg",201,"FF.600","Corn.Frost",21,"FF club","FF.original",13865300,15262128,309,"Regular","2","6","yes","1st end (full)","NA","NA",NA,0,1,"yes","NA","FFL 120","0","0","0","0","1","0","0",1445592.2,10340000,0,750000,0.122727272727273,2,9,0,0,1,5607.342235,3790.643218,0,3549.059427,13852352.95512,"FF.600.emart",1e+06,1,6916393.18118717,0.835034455817943,7651383.42060725,1.08251846328719,403667.221974423,6886185.17672853,361531.021904304,0.982485241182927
"7",2009-02-07,6,"2009-02","2009-02-07 emart 201","Corn Frost 6","201 emart wk 6","emart",6100,1996,"club","kellogg",201,"FF.600","Corn.Frost",21,"FF club","FF.original",22917700,21287952,431,"Regular","3","6","yes","1st end (full)","NA","NA",NA,0,1,"yes","NA","FFL 120","0","0","0","0","1","0","0",1445592.2,10340000,0,750000,0.122727272727273,2,9,0,0,1,6530.062646,4439.86945,0,4200.405218,22902529.662686,"FF.600.emart",1e+06,1,11435089.8005664,1.36917794560884,7981622.65052397,1.04637774158953,641667.091350136,6988685.64078625,351269.918387586,2.61226676483041
"8",2009-02-08,6,"2009-02","2009-02-08 emart 201","Corn Frost 6","201 emart wk 6","emart",6100,1996,"club","kellogg",201,"FF.600","Corn.Frost",21,"FF club","FF.original",27681800,NA,NA,"Regular","4","6","yes","1st end (full)","NA","NA",NA,0,1,"yes","NA","FFL 120","0","0","0","0","1","0","0",1445592.2,10340000,0,750000,0.122727272727273,2,9,0,0,1,7638.371456,5223.125116,0,4993.316142,27663945.187286,"FF.600.emart",1e+06,1,13812434.7883701,1.42495041288003,7816549.12421371,1.24009634506231,1137050.68829361,7086410.89827501,-406912.462354914,3.53224062265264
"9",2009-02-09,6,"2009-02","2009-02-09 emart 201","Corn Frost 6","201 emart wk 6","emart",6100,1996,"club","kellogg",201,"FF.600","Corn.Frost",21,"FF club","FF.original",11779100,6420960,130,"Regular","5","6","yes","1st end (full)","NA","NA",NA,0,1,"yes","NA","FFL 120","0","0","0","0","1","0","0",1445592.2,10340000,0,750000,0.122727272727273,2,9,0,0,1,8384.04176,5765.631843,0,5570.173432,11759380.152965,"FF.600.emart",1e+06,1,5871384.95304463,0.920088426906853,8111377.94223145,0.786713042210052,2090835.69232477,7184136.15576378,-1163593.90585709,0.659487471656484
"10",2009-02-10,6,"2009-02","2009-02-10 emart 201","Corn Frost 6","201 emart wk 6","emart",6100,1996,"club","kellogg",201,"FF.600","Corn.Frost",21,"FF club","FF.original",10888500,4099536,83,"Regular","6","6","yes","1st end (full)","NA","NA",NA,0,1,"yes","NA","FFL 120","0","0","0","0","1","0","0",1445592.2,10340000,0,750000,0.122727272727273,2,9,0,0,1,9411.343039,6508.800611,0,6355.038531,10866224.817819,"FF.600.emart",1e+06,1,5425438.08107574,0.844981117157911,8460460.61301386,0.758916158158661,2208561.18743351,7281861.41325254,-1029961.98767219,0.546914564892961
